pr_gene_id	pr_gene_symbol	pr_gene_title
9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
2745	GLRX	glutaredoxin
10898	CPSF4	cleavage and polyadenylation specific factor 4
9170	LPAR2	lysophosphatidic acid receptor 2
23443	SLC35A3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3
10013	HDAC6	histone deacetylase 6
9120	SLC16A6	solute carrier family 16 member 6
25836	NIPBL	Nipped-B homolog (Drosophila)
207	AKT1	v-akt murine thymoma viral oncogene homolog 1
10318	TNIP1	TNFAIP3 interacting protein 1
9533	POLR1C	polymerase (RNA) I polypeptide C
8573	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
8202	NCOA3	nuclear receptor coactivator 3
55715	DOK4	docking protein 4
1725	DHPS	deoxyhypusine synthase
22794	CASC3	cancer susceptibility candidate 3
7982	ST7	suppression of tumorigenicity 7
4931	NVL	nuclear VCP-like
150094	SIK1	salt inducible kinase 1
51599	LSR	lipolysis stimulated lipoprotein receptor
23483	TGDS	TDP-glucose 4,6-dehydratase
10892	MALT1	MALT1 paracaspase
9519	TBPL1	TATA-box binding protein like 1
1500	CTNND1	catenin delta 1
57019	CIAPIN1	cytokine induced apoptosis inhibitor 1
9031	BAZ1B	bromodomain adjacent to zinc finger domain 1B
5468	PPARG	peroxisome proliferator activated receptor gamma
10493	VAT1	vesicle amine transport 1
23499	MACF1	microtubule-actin crosslinking factor 1
2222	FDFT1	farnesyl-diphosphate farnesyltransferase 1
9124	PDLIM1	PDZ and LIM domain 1
1983	EIF5	eukaryotic translation initiation factor 5
54499	TMCO1	transmembrane and coiled-coil domains 1
5018	OXA1L	oxidase (cytochrome c) assembly 1-like
10284	SAP18	Sin3A associated protein 18kDa
1831	TSC22D3	TSC22 domain family member 3
5747	PTK2	protein tyrosine kinase 2
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
7905	REEP5	receptor accessory protein 5
51382	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
831	CAST	calpastatin
3964	LGALS8	lectin, galactoside-binding, soluble, 8
8678	BECN1	beclin 1, autophagy related
501	ALDH7A1	aldehyde dehydrogenase 7 family member A1
10049	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6
50813	COPS7A	COP9 signalosome subunit 7A
7511	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
11151	CORO1A	coronin 1A
51031	GLOD4	glyoxalase domain containing 4
1738	DLD	dihydrolipoamide dehydrogenase
7866	IFRD2	interferon-related developmental regulator 2
7105	TSPAN6	tetraspanin 6
8611	PLPP1	phospholipid phosphatase 1
9128	PRPF4	pre-mRNA processing factor 4
1534	CYB561	cytochrome b561
4125	MAN2B1	mannosidase alpha class 2B member 1
79143	MBOAT7	membrane bound O-acyltransferase domain containing 7
2353	FOS	FBJ murine osteosarcoma viral oncogene homolog
84617	TUBB6	tubulin beta 6 class V
873	CBR1	carbonyl reductase 1
10227	MFSD10	major facilitator superfamily domain containing 10
10174	SORBS3	sorbin and SH3 domain containing 3
9126	SMC3	structural maintenance of chromosomes 3
2810	SFN	stratifin
2063	NR2F6	nuclear receptor subfamily 2 group F member 6
7106	TSPAN4	tetraspanin 4
4616	GADD45B	growth arrest and DNA damage inducible beta
23075	SWAP70	SWAP switching B-cell complex 70kDa subunit
11168	PSIP1	PC4 and SFRS1 interacting protein 1
3551	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
572	BAD	BCL2 associated agonist of cell death
6813	STXBP2	syntaxin binding protein 2
10057	ABCC5	ATP binding cassette subfamily C member 5
8623	ASMTL	acetylserotonin O-methyltransferase-like
11004	KIF2C	kinesin family member 2C
2887	GRB10	growth factor receptor bound protein 10
9181	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2
18	ABAT	4-aminobutyrate aminotransferase
6119	RPA3	replication protein A3
5873	RAB27A	RAB27A, member RAS oncogene family
50810	HDGFRP3	hepatoma-derived growth factor, related protein 3
2954	GSTZ1	glutathione S-transferase zeta 1
23212	RRS1	ribosome biogenesis regulator homolog
58497	PRUNE	prune exopolyphosphatase
2625	GATA3	GATA binding protein 3
39	ACAT2	acetyl-CoA acetyltransferase 2
5523	PPP2R3A	protein phosphatase 2 regulatory subunit B'', alpha
1070	CETN3	centrin 3
2624	GATA2	GATA binding protein 2
7541	ZBTB14	zinc finger and BTB domain containing 14
23240	KIAA0922	KIAA0922
85236	HIST1H2BK	histone cluster 1, H2bk
310	ANXA7	annexin A7
22827	PUF60	poly(U) binding splicing factor 60KDa
3017	HIST1H2BD	histone cluster 1, H2bd
8837	CFLAR	CASP8 and FADD like apoptosis regulator
5603	MAPK13	mitogen-activated protein kinase 13
1515	CTSV	cathepsin V
1837	DTNA	dystrobrevin alpha
116832	RPL39L	ribosomal protein L39 like
8444	DYRK3	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 3
4200	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial
47	ACLY	ATP citrate lyase
11200	CHEK2	checkpoint kinase 2
166647	ADGRA3	adhesion G protein-coupled receptor A3
2852	GPER1	G protein-coupled estrogen receptor 1
10362	HMG20B	high mobility group 20B
4067	LYN	LYN proto-oncogene, Src family tyrosine kinase
51635	DHRS7	dehydrogenase/reductase (SDR family) member 7
11257	TP53TG1	TP53 target 1 (non-protein coding)
7168	TPM1	tropomyosin 1 (alpha)
3308	HSPA4	heat shock protein family A (Hsp70) member 4
10962	MLLT11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11
8480	RAE1	ribonucleic acid export 1
5728	PTEN	phosphatase and tensin homolog
622	BDH1	3-hydroxybutyrate dehydrogenase, type 1
637	BID	BH3 interacting domain death agonist
644	BLVRA	biliverdin reductase A
23658	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
10190	TXNDC9	thioredoxin domain containing 9
9112	MTA1	metastasis associated 1
7852	CXCR4	chemokine (C-X-C motif) receptor 4
26001	RNF167	ring finger protein 167
147179	WIPF2	WAS/WASL interacting protein family member 2
23061	TBC1D9B	TBC1 domain family member 9B
9289	ADGRG1	adhesion G protein-coupled receptor G1
90861	HN1L	hematological and neurological expressed 1-like
57178	ZMIZ1	zinc finger, MIZ-type containing 1
23244	PDS5A	PDS5 cohesin associated factor A
23039	XPO7	exportin 7
1399	CRKL	v-crk avian sarcoma virus CT10 oncogene homolog-like
25839	COG4	component of oligomeric golgi complex 4
94239	H2AFV	H2A histone family member V
23014	FBXO21	F-box protein 21
27032	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1
27346	TMEM97	transmembrane protein 97
200081	TXLNA	taxilin alpha
64764	CREB3L2	cAMP responsive element binding protein 3-like 2
9686	VGLL4	vestigial like family member 4
89910	UBE3B	ubiquitin protein ligase E3B
26128	KIF1BP	KIF1 binding protein
200734	SPRED2	sprouty-related, EVH1 domain containing 2
23522	KAT6B	K(lysine) acetyltransferase 6B
23131	GPATCH8	G-patch domain containing 8
84890	ADO	2-aminoethanethiol (cysteamine) dioxygenase
23200	ATP11B	ATPase, class VI, type 11B
26036	ZNF451	zinc finger protein 451
23029	RBM34	RNA binding motif protein 34
84159	ARID5B	AT-rich interaction domain 5B
1123	CHN1	chimerin 1
93487	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1-like
54505	DHX29	DEAH-box helicase 29
9886	RHOBTB1	Rho-related BTB domain containing 1
23338	JADE2	jade family PHD finger 2
25976	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase
55818	KDM3A	lysine (K)-specific demethylase 3A
5096	PCCB	propionyl-CoA carboxylase beta subunit
9842	PLEKHM1	pleckstrin homology and RUN domain containing M1
23210	JMJD6	jumonji domain containing 6
5253	PHF2	PHD finger protein 2
2760	GM2A	GM2 ganglioside activator
23271	CAMSAP2	calmodulin regulated spectrin associated protein family member 2
23325	KIAA1033	KIAA1033
6509	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
10973	ASCC3	activating signal cointegrator 1 complex subunit 3
1955	MEGF9	multiple EGF like domains 9
91137	SLC25A46	solute carrier family 25 member 46
23076	RRP1B	ribosomal RNA processing 1B
23142	DCUN1D4	defective in cullin neddylation 1 domain containing 4
8550	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5
25966	C2CD2	C2 calcium-dependent domain containing 2
23335	WDR7	WD repeat domain 7
6832	SUPV3L1	Suv3 like RNA helicase
23097	CDK19	cyclin-dependent kinase 19
57215	THAP11	THAP domain containing 11
9847	C2CD5	C2 calcium-dependent domain containing 5
5438	POLR2I	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa
5986	RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
22934	RPIA	ribose 5-phosphate isomerase A
11011	TLK2	tousled like kinase 2
1287	COL4A5	collagen type IV alpha 5
206358	SLC36A1	solute carrier family 36 (proton/amino acid symporter), member 1
10950	BTG3	BTG family member 3
7074	TIAM1	T-cell lymphoma invasion and metastasis 1
3206	HOXA10	homeobox A10
23067	SETD1B	SET domain containing 1B
205564	SENP5	SUMO1/sentrin specific peptidase 5
91949	COG7	component of oligomeric golgi complex 7
23361	ZNF629	zinc finger protein 629
55958	KLHL9	kelch like family member 9
23161	SNX13	sorting nexin 13
8777	MPDZ	multiple PDZ domain protein
81544	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
51460	SFMBT1	Scm-like with four mbt domains 1
23211	ZC3H4	zinc finger CCCH-type containing 4
6909	TBX2	T-box 2
323	APBB2	amyloid beta precursor protein binding family B member 2
22930	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1
23149	FCHO1	FCH domain only 1
388650	FAM69A	family with sequence similarity 69 member A
6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
23062	GGA2	golgi-associated, gamma adaptin ear containing, ARF binding protein 2
3202	HOXA5	homeobox A5
375346	TMEM110	transmembrane protein 110
27109	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)
93594	TBC1D31	TBC1 domain family member 31
2017	CTTN	cortactin
10038	PARP2	poly(ADP-ribose) polymerase 2
771	CA12	carbonic anhydrase XII
7840	ALMS1	ALMS1, centrosome and basal body associated protein
8574	AKR7A2	aldo-keto reductase family 7, member A2
30	ACAA1	acetyl-CoA acyltransferase 1
25803	SPDEF	SAM pointed domain containing ETS transcription factor
7690	ZNF131	zinc finger protein 131
9637	FEZ2	fasciculation and elongation protein zeta 2
50814	NSDHL	NAD(P) dependent steroid dehydrogenase-like
1759	DNM1	dynamin 1
29978	UBQLN2	ubiquilin 2
23139	MAST2	microtubule associated serine/threonine kinase 2
23321	TRIM2	tripartite motif containing 2
3508	IGHMBP2	immunoglobulin mu binding protein 2
9380	GRHPR	glyoxylate reductase/hydroxypyruvate reductase
2908	NR3C1	nuclear receptor subfamily 3 group C member 1
2064	ERBB2	erb-b2 receptor tyrosine kinase 2
23223	RRP12	ribosomal RNA processing 12 homolog
9455	HOMER2	homer scaffolding protein 2
7416	VDAC1	voltage dependent anion channel 1
9709	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
3416	IDE	insulin degrading enzyme
3046	HBE1	hemoglobin subunit epsilon 1
51335	NGRN	neugrin, neurite outgrowth associated
80218	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit
55748	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)
56889	TM9SF3	transmembrane 9 superfamily member 3
55256	ADI1	acireductone dioxygenase 1
11031	RAB31	RAB31, member RAS oncogene family
23585	TMEM50A	transmembrane protein 50A
51495	HACD3	3-hydroxyacyl-CoA dehydratase 3
10652	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)
58533	SNX6	sorting nexin 6
28969	BZW2	basic leucine zipper and W2 domains 2
51465	UBE2J1	ubiquitin conjugating enzyme E2, J1
51466	EVL	Enah/Vasp-like
25825	BACE2	beta-site APP-cleaving enzyme 2
51727	CMPK1	cytidine/uridine monophosphate kinase 1
55011	PIH1D1	PIH1 domain containing 1
51719	CAB39	calcium binding protein 39
55699	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial
1829	DSG2	desmoglein 2
23588	KLHDC2	kelch domain containing 2
9531	BAG3	BCL2 associated athanogene 3
10695	CNPY3	canopy FGF signaling regulator 3
51056	LAP3	leucine aminopeptidase 3
10273	STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase
51070	NOSIP	nitric oxide synthase interacting protein
58478	ENOPH1	enolase-phosphatase 1
56993	TOMM22	translocase of outer mitochondrial membrane 22 homolog (yeast)
8649	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
51170	HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11
58472	SQRDL	sulfide quinone reductase-like (yeast)
51116	MRPS2	mitochondrial ribosomal protein S2
79902	NUP85	nucleoporin 85kDa
51024	FIS1	fission, mitochondrial 1
51203	NUSAP1	nucleolar and spindle associated protein 1
51021	MRPS16	mitochondrial ribosomal protein S16
51569	UFM1	ubiquitin-fold modifier 1
64943	NT5DC2	5'-nucleotidase domain containing 2
26993	AKAP8L	A-kinase anchoring protein 8 like
79894	ZNF672	zinc finger protein 672
56654	NPDC1	neural proliferation, differentiation and control, 1
55608	ANKRD10	ankyrin repeat domain 10
51071	DERA	deoxyribose-phosphate aldolase (putative)
54881	TEX10	testis expressed 10
55148	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
23670	TMEM2	transmembrane protein 2
58477	SRPRB	SRP receptor beta subunit
57761	TRIB3	tribbles pseudokinase 3
55893	ZNF395	zinc finger protein 395
56997	ADCK3	aarF domain containing kinase 3
51015	ISOC1	isochorismatase domain containing 1
80212	CCDC92	coiled-coil domain containing 92
51026	GOLT1B	golgi transport 1B
51282	SCAND1	SCAN domain containing 1
7376	NR1H2	nuclear receptor subfamily 1 group H member 2
25987	TSKU	tsukushi, small leucine rich proteoglycan
64429	ZDHHC6	zinc finger, DHHC-type containing 6
64319	FBRS	fibrosin
55486	PARL	presenilin associated, rhomboid-like
55111	PLEKHJ1	pleckstrin homology domain containing J1
26520	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)
27244	SESN1	sestrin 1
51053	GMNN	geminin, DNA replication inhibitor
79174	CRELD2	cysteine rich with EGF like domains 2
53343	NUDT9	nudix hydrolase 9
55120	FANCL	Fanconi anemia complementation group L
55038	CDCA4	cell division cycle associated 4
29937	NENF	neudesin neurotrophic factor
64781	CERK	ceramide kinase
29103	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15
50865	HEBP1	heme binding protein 1
80135	RPF1	ribosome production factor 1 homolog
54442	KCTD5	potassium channel tetramerization domain containing 5
64077	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
51293	CD320	CD320 molecule
55165	CEP55	centrosomal protein 55kDa
79947	DHDDS	dehydrodolichyl diphosphate synthase subunit
29082	CHMP4A	charged multivesicular body protein 4A
55631	LRRC40	leucine rich repeat containing 40
63874	ABHD4	abhydrolase domain containing 4
79600	TCTN1	tectonic family member 1
55127	HEATR1	HEAT repeat containing 1
55847	CISD1	CDGSH iron sulfur domain 1
79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7
64219	PJA1	praja ring finger ubiquitin ligase 1
51160	VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)
54512	EXOSC4	exosome component 4
64428	NARFL	nuclear prelamin A recognition factor-like
79643	CHMP6	charged multivesicular body protein 6
29763	PACSIN3	protein kinase C and casein kinase substrate in neurons 3
10112	KIF20A	kinesin family member 20A
29911	HOOK2	hook microtubule-tethering protein 2
64754	SMYD3	SET and MYND domain containing 3
54957	TXNL4B	thioredoxin like 4B
10451	VAV3	vav guanine nucleotide exchange factor 3
80025	PANK2	pantothenate kinase 2
54733	SLC35F2	solute carrier family 35 member F2
56940	DUSP22	dual specificity phosphatase 22
55012	PPP2R3C	protein phosphatase 2 regulatory subunit B'', gamma
29940	DSE	dermatan sulfate epimerase
27242	TNFRSF21	tumor necrosis factor receptor superfamily member 21
79850	FAM57A	family with sequence similarity 57 member A
55129	ANO10	anoctamin 10
79724	ZNF768	zinc finger protein 768
55278	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
11284	PNKP	polynucleotide kinase 3'-phosphatase
60493	FASTKD5	FAST kinase domains 5
79006	METRN	meteorin, glial cell differentiation regulator
8270	LAGE3	L antigen family member 3
54851	ANKRD49	ankyrin repeat domain 49
5827	PXMP2	peroxisomal membrane protein 2
51741	WWOX	WW domain containing oxidoreductase
51005	AMDHD2	amidohydrolase domain containing 2
79170	PRR15L	proline rich 15 like
79187	FSD1	fibronectin type III and SPRY domain containing 1
29928	TIMM22	translocase of inner mitochondrial membrane 22 homolog (yeast)
64080	RBKS	ribokinase
79094	CHAC1	ChaC glutathione-specific gamma-glutamylcyclotransferase 1
4482	MSRA	methionine sulfoxide reductase A
55890	GPRC5C	G protein-coupled receptor, class C, group 5, member C
55008	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
51001	MTERF3	mitochondrial transcription termination factor 3
29946	SERTAD3	SERTA domain containing 3
23536	ADAT1	adenosine deaminase, tRNA-specific 1
55033	FKBP14	FK506 binding protein 14
55703	POLR3B	polymerase (RNA) III (DNA directed) polypeptide B
55654	TMEM127	transmembrane protein 127
5716	PSMD10	proteasome 26S subunit, non-ATPase 10
26511	CHIC2	cysteine rich hydrophobic domain 2
55176	SEC61A2	Sec61 translocon alpha 2 subunit
55604	LRRC16A	leucine rich repeat containing 16A
80746	TSEN2	tRNA splicing endonuclease subunit 2
54821	ERCC6L	excision repair cross-complementation group 6 like
9200	HACD1	3-hydroxyacyl-CoA dehydratase 1
54807	ZNF586	zinc finger protein 586
80758	PRR7	proline rich 7 (synaptic)
54438	GFOD1	glucose-fructose oxidoreductase domain containing 1
6676	SPAG4	sperm associated antigen 4
57192	MCOLN1	mucolipin 1
51385	ZNF589	zinc finger protein 589
55862	ECHDC1	ethylmalonyl-CoA decarboxylase 1
4122	MAN2A2	mannosidase alpha class 2A member 2
11182	SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6
63933	MCUR1	mitochondrial calcium uniporter regulator 1
54850	FBXL12	F-box and leucine-rich repeat protein 12
29916	SNX11	sorting nexin 11
54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
55968	NSFL1C	NSFL1 (p97) cofactor (p47)
55179	FAIM	Fas apoptotic inhibitory molecule
55657	ZNF692	zinc finger protein 692
26355	FAM162A	family with sequence similarity 162 member A
81876	RAB1B	RAB1B, member RAS oncogene family
29083	GTPBP8	GTP-binding protein 8 (putative)
79961	DENND2D	DENN/MADD domain containing 2D
55825	PECR	peroxisomal trans-2-enoyl-CoA reductase
80199	FUZ	fuzzy planar cell polarity protein
1154	CISH	cytokine inducible SH2-containing protein
51805	COQ3	coenzyme Q3 methyltransferase
51742	ARID4B	AT-rich interaction domain 4B
7855	FZD5	frizzled class receptor 5
81533	ITFG1	integrin alpha FG-GAP repeat containing 1
10776	ARPP19	cAMP regulated phosphoprotein 19kDa
64422	ATG3	autophagy related 3
10813	UTP14A	UTP14A small subunit processome component
80349	WDR61	WD repeat domain 61
83743	GRWD1	glutamate-rich WD repeat containing 1
57406	ABHD6	abhydrolase domain containing 6
8996	NOL3	nucleolar protein 3
55620	STAP2	signal transducing adaptor family member 2
23597	ACOT9	acyl-CoA thioesterase 9
124583	CANT1	calcium activated nucleotidase 1
54915	YTHDF1	YTH N(6)-methyladenosine RNA binding protein 1
3157	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1
85377	MICALL1	MICAL like 1
55793	FAM63A	family with sequence similarity 63 member A
25861	DFNB31	deafness, autosomal recessive 31
55152	DALRD3	DALR anticodon binding domain containing 3
54681	P4HTM	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)
11000	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3
54555	DDX49	DEAD-box helicase 49
6915	TBXA2R	thromboxane A2 receptor
6253	RTN2	reticulon 2
1497	CTNS	cystinosin, lysosomal cystine transporter
7264	TSTA3	tissue specific transplantation antigen P35B
23523	CABIN1	calcineurin binding protein 1
2767	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
23038	WDTC1	WD and tetratricopeptide repeats 1
57787	MARK4	MAP/microtubule affinity-regulating kinase 4
57048	PLSCR3	phospholipid scramblase 3
84619	ZGPAT	zinc finger, CCCH-type with G-patch domain
5526	PPP2R5B	protein phosphatase 2 regulatory subunit B', beta
79716	NPEPL1	aminopeptidase-like 1
10929	SRSF8	serine/arginine-rich splicing factor 8
